Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P4-9","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 4-9","B20150016805_P4-9",[[Category:NaN_KLE_Data]]
"BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer_B20150018805","BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer","","B20150018805",[[Category:NaN_KLE_Data]]
"BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer_B20100064505","BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer","","B20100064505",[[Category:NaN_KLE_Data]]
"BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer_B20100048205","BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer","","B20100048205",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205_Kap3","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","Kap.3","B20150010205_Kap3",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap6","LBK om byfornyelse og udvikling af byer","Kap.6","A20140086329_Kap6",[[Category:NaN_KLE_Data]]
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P4-9","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 4-9","B20150016805_P4-9",[[Category:NaN_KLE_Data]]
"Vejledning om aftalt grøn byfornyelse_C20140945860","Vejledning om aftalt grøn byfornyelse","","C20140945860",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329","LBK om byfornyelse og udvikling af byer","","A20140086329",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap7","LBK om byfornyelse og udvikling af byer","Kap.7","A20140086329_Kap7",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap8","LBK om byfornyelse og udvikling af byer","Kap.8","A20140086329_Kap8",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_P75-80","LBK om byfornyelse og udvikling af byer","§ 75-80","A20140086329_P75-80",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_P82-83","LBK om byfornyelse og udvikling af byer","§ 82-83","A20140086329_P82-83",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_P81","LBK om byfornyelse og udvikling af byer","§ 81","A20140086329_P81",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap10","LBK om byfornyelse og udvikling af byer","Kap.10","A20140086329_Kap10",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap11","LBK om byfornyelse og udvikling af byer","Kap.11","A20140086329_Kap11",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205_Kap1-2","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","Kap.1-2","B20150010205_Kap1-2",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","","B20150010205",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329","LBK om byfornyelse og udvikling af byer","","A20140086329",[[Category:NaN_KLE_Data]]
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P4-9","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 4-9","B20150016805_P4-9",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205_Kap3","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","Kap.3","B20150010205_Kap3",[[Category:NaN_KLE_Data]]
"Jordfordelingsloven_A20100127529","Jordfordelingsloven","","A20100127529",[[Category:NaN_KLE_Data]]
"Kolonihaveloven_A20070079029","Kolonihaveloven","","A20070079029",[[Category:NaN_KLE_Data]]
"LBK om drift af landbrugsjorder_A20090019129_P5","LBK om drift af landbrugsjorder","§ 5, Stk.3","A20090019129_P5",[[Category:NaN_KLE_Data]]
"BEK om jordressourcens anvendelse til dyrkning og natur_B20100063705_P8","BEK om jordressourcens anvendelse til dyrkning og natur","§ 8","B20100063705_P8",[[Category:NaN_KLE_Data]]
"LBK om drift af landbrugsjorder_A20090019129_P6","LBK om drift af landbrugsjorder","§ 6","A20090019129_P6",[[Category:NaN_KLE_Data]]
"BEK om jordressourcens anvendelse til dyrkning og natur_B20100063705_P10","BEK om jordressourcens anvendelse til dyrkning og natur","§ 10","B20100063705_P10",[[Category:NaN_KLE_Data]]
"LBK om drift af landbrugsjorder_A20090019129_P9","LBK om drift af landbrugsjorder","§ 9, Stk.2","A20090019129_P9",[[Category:NaN_KLE_Data]]
"LBK om drift af landbrugsjorder_A20090019129_P10","LBK om drift af landbrugsjorder","§ 10","A20090019129_P10",[[Category:NaN_KLE_Data]]
"BEK om bekæmpelse af kæmpebjørneklo_B20090086205","BEK om bekæmpelse af kæmpebjørneklo","","B20090086205",[[Category:NaN_KLE_Data]]
"Mark- og vejfredsloven_A20070006129_P21-23","Mark- og vejfredsloven","§ 21-23","A20070006129_P21-23",[[Category:NaN_KLE_Data]]
"BEK om jordkøbsnævn_B20070122005_P21","BEK om jordkøbsnævn","§ 21","B20070122005_P21",[[Category:NaN_KLE_Data]]
"Jordfordelingsloven_A20100127529_P25","Jordfordelingsloven","§ 25, Stk.3","A20100127529_P25",[[Category:NaN_KLE_Data]]
"BEK om jordkøbsnævn_B20070122005_P3-4","BEK om jordkøbsnævn","§ 3-4","B20070122005_P3-4",[[Category:NaN_KLE_Data]]
"BEK om jordkøbsnævn_B20070122005_P5","BEK om jordkøbsnævn","§ 5, Stk.1-4","B20070122005_P5",[[Category:NaN_KLE_Data]]
"BEK om jordkøbsnævn_B20070122005_P7","BEK om jordkøbsnævn","§ 7","B20070122005_P7",[[Category:NaN_KLE_Data]]
"BEK om jordkøbsnævn_B20070122005_P8","BEK om jordkøbsnævn","§ 8","B20070122005_P8",[[Category:NaN_KLE_Data]]
"VVM-bekendtgørelsen_B20140118405_P2-3","VVM-bekendtgørelsen","§ 2-3","B20140118405_P2-3",[[Category:NaN_KLE_Data]]
"Lov om en Cityring_A20070055230_P3","Lov om en Cityring","§ 3, Stk.3-4","A20070055230_P3",[[Category:NaN_KLE_Data]]
"VVM-bekendtgørelsen_B20140118405_P4-7","VVM-bekendtgørelsen","§ 4-7","B20140118405_P4-7",[[Category:NaN_KLE_Data]]
"LBK om bygnings- og boligregistrering_A20130108029","LBK om bygnings- og boligregistrering","","A20130108029",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P28","Byggeloven","§ 28","A20100118529_P28",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap1.12","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.1.12","B20100081005_Kap1.12",[[Category:NaN_KLE_Data]]
"Hegnsloven_A20070005929","Hegnsloven","","A20070005929",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P6d","Byggeloven","§ 6d, Stk.2","A20100118529_P6d",[[Category:NaN_KLE_Data]]
"LBK om bygnings- og boligregistrering_A20130108029_P3","LBK om bygnings- og boligregistrering","§ 3","A20130108029_P3",[[Category:NaN_KLE_Data]]
"OIS-Bekendtgørelsen_B20080019505","OIS-Bekendtgørelsen","","B20080019505",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap2.6","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.2.6","B20100081005_Kap2.6",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P22","Byggeloven","§ 22","A20100118529_P22",[[Category:NaN_KLE_Data]]
"CIR om kommunale parkeringsfonde_C19940001009","CIR om kommunale parkeringsfonde","","C19940001009",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap2.6","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.2.6","B20100081005_Kap2.6",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap2.6","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.2.6","B20100081005_Kap2.6",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap5.2","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.5.2","B20100081005_Kap5.2",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap5.2","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.5.2","B20100081005_Kap5.2",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap8","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.8","B20100081005_Kap8",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P15","Byggeloven","§ 15","A20100118529_P15",[[Category:NaN_KLE_Data]]
"BEK om brandværnsforanstaltninger for skorstene og ildsteder_B19930023905_P12-15","BEK om brandværnsforanstaltninger for skorstene og ildsteder","§ 12-15","B19930023905_P12-15",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P15","Byggeloven","§ 15","A20100118529_P15",[[Category:NaN_KLE_Data]]
"BEK om brandværnsforanstaltninger for skorstene og ildsteder_B19930023905_P1","BEK om brandværnsforanstaltninger for skorstene og ildsteder","§ 1","B19930023905_P1",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P15","Byggeloven","§ 15","A20100118529_P15",[[Category:NaN_KLE_Data]]
"BEK om brandværnsforanstaltninger for skorstene og ildsteder_B19930023905_P2-9","BEK om brandværnsforanstaltninger for skorstene og ildsteder","§ 2-9","B19930023905_P2-9",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P15","Byggeloven","§ 15","A20100118529_P15",[[Category:NaN_KLE_Data]]
"BEK om brandværnsforanstaltninger for skorstene og ildsteder_B19930023905_P10-11","BEK om brandværnsforanstaltninger for skorstene og ildsteder","§ 10-11","B19930023905_P10-11",[[Category:NaN_KLE_Data]]
"Lov om ændring af byggeloven og lov om bygnings- og boligregistrering_A20130064030","Lov om ændring af byggeloven og lov om bygnings- og boligregistrering","","A20130064030",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P21","Byggeloven","§ 21","A20100118529_P21",[[Category:NaN_KLE_Data]]
"BEK om ændring af bekendtgørelse om offentliggørelse af bygningsreglement 2010 (BR10)_B20130138305_Kap1.16","BEK om ændring af bekendtgørelse om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.1.16","B20130138305_Kap1.16",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P22","Byggeloven","§ 22","A20100118529_P22",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P16-16a","Byggeloven","§ 16-16a","A20100118529_P16-16a",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P16c","Byggeloven","§ 16c","A20100118529_P16c",[[Category:NaN_KLE_Data]]
"LBK om gasinstallationer og gasmateriel_A20140055629","LBK om gasinstallationer og gasmateriel","","A20140055629",[[Category:NaN_KLE_Data]]
"BEK om certificeringsordning for transportable telte og konstruktioner_B20140088005","BEK om certificeringsordning for transportable telte og konstruktioner","","B20140088005",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap1.5","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.1.5","B20100081005_Kap1.5",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P22","Byggeloven","§ 22","A20100118529_P22",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P16-16a","Byggeloven","§ 16-16a","A20100118529_P16-16a",[[Category:NaN_KLE_Data]]
"Byggeloven_A20100118529_P16c","Byggeloven","§ 16c","A20100118529_P16c",[[Category:NaN_KLE_Data]]
"BEK om offentliggørelse af bygningsreglement 2010 (BR10)_B20100081005_Kap1.5","BEK om offentliggørelse af bygningsreglement 2010 (BR10)","Kap.1.5","B20100081005_Kap1.5",[[Category:NaN_KLE_Data]]
"Frigørelsesloven_A20090097829","Frigørelsesloven","","A20090097829",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P75a-75u","Almenboligloven","§ 75a-75u","A20130102329_P75a-75u",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_Kap7","Boligreguleringsloven","Kap.7","A20100096229_Kap7",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P50","Boligreguleringsloven","§ 50","A20100096229_P50",[[Category:NaN_KLE_Data]]
"Anvisningsretsloven_A20090104529","Anvisningsretsloven","","A20090104529",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P63a","Boligreguleringsloven","§ 63a","A20100096229_P63a",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P104","Almenboligloven","§ 104, Stk.2","A20130102329_P104",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P115-139","Almenboligloven","§ 115-139","A20130102329_P115-139",[[Category:NaN_KLE_Data]]
"BEK om støtte til almene boliger m.v._B20110122605","BEK om støtte til almene boliger m.v.","","B20110122605",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P100","Almenboligloven","§ 100","A20130102329_P100",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P115","Almenboligloven","§ 115","A20130102329_P115",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P140","Almenboligloven","§ 140","A20130102329_P140",[[Category:NaN_KLE_Data]]
"BEK om støtte til almene boliger m.v._B20110122605_Kap7","BEK om støtte til almene boliger m.v.","Kap.7","B20110122605_Kap7",[[Category:NaN_KLE_Data]]
"BEK om støtte til almene boliger m.v._B20110122605_Kap9","BEK om støtte til almene boliger m.v.","Kap.9","B20110122605_Kap9",[[Category:NaN_KLE_Data]]
"Boligbyggeriloven_A20110090329_P7","Boligbyggeriloven","§ 7","A20110090329_P7",[[Category:NaN_KLE_Data]]
"BEK om støtte til almene boliger m.v._B20110122605_Kap10","BEK om støtte til almene boliger m.v.","Kap.10","B20110122605_Kap10",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_Kap11","Almenboligloven","Kap.11","A20130102329_Kap11",[[Category:NaN_KLE_Data]]
"BEK om eftersyn af byggerier og renoveringer under Byggeskadefonden_B20110074005","BEK om eftersyn af byggerier og renoveringer under Byggeskadefonden","","B20110074005",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P160e","Almenboligloven","§ 160e","A20130102329_P160e",[[Category:NaN_KLE_Data]]
"Almenboligloven_A20130102329_P160n","Almenboligloven","§ 160n","A20130102329_P160n",[[Category:NaN_KLE_Data]]
"LBK om andelsboligforeninger og andre boligfællesskaber_A20150044729_P2","LBK om andelsboligforeninger og andre boligfællesskaber","§ 2, Stk.7","A20150044729_P2",[[Category:NaN_KLE_Data]]
"LBK om andelsboligforeninger og andre boligfællesskaber_A20150044729_P7g","LBK om andelsboligforeninger og andre boligfællesskaber","§ 7g","A20150044729_P7g",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P9","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 9","B19930034005_P9",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P10-12","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 10-12","B19930034005_P10-12",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P14","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 14","B19930034005_P14",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P15","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 15","B19930034005_P15",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P19","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 19","B19930034005_P19",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P17","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 17","B19930034005_P17",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P18","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 18","B19930034005_P18",[[Category:NaN_KLE_Data]]
"BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P15","BEK om drift og tilsyn med ungdomsboliger, der er opført med statsstøtte (lejefastsættelse, regnskaber, revision og tilsyn).","§ 15, Stk.1","B19930034005_P15",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P4-17","Boligreguleringsloven","§ 4-17","A20100096229_P4-17",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P18-22","Boligreguleringsloven","§ 18-22","A20100096229_P18-22",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P23-29a","Boligreguleringsloven","§ 23-29a","A20100096229_P23-29a",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P29b-29e","Boligreguleringsloven","§ 29b-29e","A20100096229_P29b-29e",[[Category:NaN_KLE_Data]]
"Boligreguleringsloven_A20100096229_P30-34","Boligreguleringsloven","§ 30-34","A20100096229_P30-34",[[Category:NaN_KLE_Data]]
